,tweet,bert_predict,lstm_predict,bert_lstm_predict
56,efek vaksin astrazeneca luar di badan ya bund,-1,-1,-1
57,serius nanya vaksin astrazeneca nih aman engga,1,1,1
58,menlu latvia mengatakan negara anggota uni eropa dpt menuntut produsen vaksin astrazeneca melanggar kontrak gagal memenuhi jadwal pengiriman vaksin covid astrazenecamengatakan kpd ue hari jumat mereka tdk dpt memenuhi target pasokan disepakati,-1,-1,-1
59,yunani ini bergabung sejumlah negara uni eropa untuk memberlakukan pembatasan penggunaan vaksin astrazeneca ini komite vaksinasi nasional yunani merekomendasikan vaksin untuk yang berusia tahun atas,-1,1,1
60,presiden menyaksikan langsung vaksinasi sidoarjo jombang menggunakan vaksin astrazeneca,1,1,1
61,tempah vaksin astrazeneca ibubapa anda yang berstatus warga emas,-1,-1,1
62,pas indonesia dapet vaksin sinovac dibilang produk china emang teruji giliran udah dapet vaksin astrazeneca yg ngepasin probel negara eropa australia dibilang proyek vaksin jadi rebutan negara weh jg fungsi bpom vaksin bisa ga untuk masy,-1,-1,-1
63,pemerintah portugal menyetujui penggunaan vaksin covid astrazeneca untuk orang berusia atas tahun studi baru mengungkapkan keefektifannya mencegah infeksi menurunkan jumlah opname antara orang tua,1,-1,1
64,ku kira dapet vaksin sinovac eh ternyata vaksin astrazeneca pantesan tepar bapake gk bilang atuh mah asal suruh vaksin aje,-1,-1,-1
65,kemampuan vaksin astrazeneca untuk membentuk kekebalan tubuh suatu penyakit seperti covid membuatnya menjadi alat paling efektif untuk mencegah penularan,-1,1,-1
66,mo tanya yang umurnya dibawah terus udh vaksin astrazeneca terus waktu suntik pertama demam yg udh suntik kedua demam ga,-1,1,-1
67,vaksin astrazeneca tu dihentikan beberapa buah negara disebbkan kes yg mengatakam menyebbkn darah beku,-1,1,-1
68,mau vaksin astrazeneca mending siapin paracetamol deh habis vaksin langsung meriang plus pegel pegel,-1,-1,-1
69,yang udah vaksin vaksinnya sinovac astrazeneca,1,-1,1
70,vaksin astrazeneca sih yg rasain ngga efek yg rasain pegel tangan yaa kayak vaksin nggak jadi laper ngantuk aja kelas mopk terang benderang yg ngantuk wkwkwk,-1,-1,1
71,kemarin abis vaksin covid yg astrazeneca ditanyain istri ngerasain kipi aja gw jawab gak udah tersakiti,-1,-1,-1
72,kesan sampingan vaksin astrazeneca selepas jam sakit kepala demam sakit tempat suntikan loya mengantuk kesejukan lemah tubuh badan sakit tekak tiada senarai simptom mysejahtera batuk tiada senarai simptom mysejahtera,-1,-1,-1
73,yg garda terdepan aja vaksin sinovac yg rumah aja kecentilan nungguin astrazeneca pfizer,1,-1,1
74,abis vaksin astrazeneca efek sampingnya jadi laper mulu udah makan,-1,-1,-1
75,pendaftaran untuk tempahan vaksin astrazeneca covid dibuka pukul tengah hari telah habis ditempah khairy jamaluddin via sinaronline,1,-1,1
76,vaksin astrazeneca udah bisa digunain njim,1,-1,1
77,gw pandita ratu samasama jatah vaksin astrazeneca pas divaksin bulan mei jam dia demam harus bedrest hari hari giliran gw divaksin pas udah selesai disuntik pandita ratu nanya ga ngerasa pegal tanga,-1,-1,-1
78,adakah mutualku yg udah divaksin astrazeneca vaksin cek dulu ya biar meminimalisir efek samping vaksinnya,-1,-1,-1
79,gua nakutin tpi efek samping vaksin astrazeneca kayanya bener,-1,-1,1
80,bandung vaksinasi mulai adakan untuk umum sinovac astrazeneca tinggal pilih yang sinovac biofarma tunggu juli tersedia di rshs bisa kodimkodam beberapa pengumuman yg tersebar,1,1,1
81,adakah vaksin covid lengkap sinovac terus vaksin biar dapet astrazeneca kalo vaksin nik ktp nya tercatat database nasional orang yg sudah divaksin pendataan sini sampai secanggih,-1,1,1
82,yg berjaya tembus az vaccine aritu temujanji xberjaya tembus dapat eh eh kelakarla,1,1,1
83,rasanya badan sedang proses kalibrasi menerima suntikan vaksin astrazeneca buktinya badan tibatiba rasa demam tidak panas lesu boleh bergerak bebas selsema sihat,-1,-1,-1
84,jam disuntik vaksin astrazeneca berasa ya ngantuk pegel semoga ga sampe kaya yg siy yg sampe demam menggigil,-1,1,-1
85,kira jam suntikan vaksin az okay ada rasa pape alhamdullilah,1,-1,1
86,td pagi vaksin pakai astrazeneca yg pertama dirasain ngantuk bgt laperr badan meriang demam pusing bgt minum obat semoga besok diriku membaik aminn,-1,1,1
87,hari harusnya dapet vaksin astrazeneca setelah diskusi dokternya dikasih moderna kalo yg punya pengalaman sm moderna ceritain pengalamannya kalo ga salah moderna blm masuk indonesia ya,-1,-1,-1
88,vaksin astrazeneca badan gua berasa ngilu ngga karuan rasanya idung semampet mapetnya flu berat jatohnyaa tpi ngga demam susah tidurr jdinyaa,-1,-1,-1
89,eropah italy france germany thailand tolak vaksin astrazeneca byk kes darah beku,-1,-1,-1
90,ya astrazeneca jadi discrutinize mana pdhl menurut itu vaksin ok dr segi efikasi costs logistik,-1,-1,1
91,ga astrazeneca jadi ya udah ga mau ambil keliling mall kerja retail sudah vaksin drpd diminta antigen minggu duit kantong semoga aman ya,1,1,1
92,astrazeneca mini covid wkwkwkwkwk,1,-1,1
93,yang tau pemberian dosis kedua vaksin astrazeneca lama ya pada vaksin sinovac,-1,1,-1
94,dips yg tau sentra vaksin semarang yg astrazeneca,1,1,1
95,ya elah udah sih gak usah dipermasalahin tuh dapet vaksin sinovac astrazeneca penting udah vaksin selesai nyebelin ya kalo yg sekitar mempermaslahkan dapet vaksin,-1,1,-1
96,update jam vaksin astrazeneca tangan yg disuntik jd pegel ngilu tp badan masi aman kalo hati kurang tau dh,-1,-1,1
97,berhasil vaksin st shot menggunakan astrazeneca bulan pasca sembuh covid surabaya,1,1,1
98,alhamdulillah syukur mak vaksin astrazeneca,1,-1,1
99,vaksin berkat orang dalem dapetnya sinovac terus taunya kantor dapet jatah untuk kalangan parekraf dapetnya astrazeneca ya gitu penyesalan selalu datang terakhir,-1,-1,-1
100,terima kasih anda menolak vaksin merasalah potong queue secara halal,1,1,1
101,baru baca astrazeneca ternyata disuntikin virus ga yg jadi spidermen ya kelar vaksin,-1,-1,-1
102,gini efek samping vaksin astrazeneca badan meriang demam pegel lemes lidah pait pusing banget banget,-1,1,-1
103,sila ambil maklum laman tempahan slot janji temu untuk vaksin astrazeneca dikemas sebentar bemula jam pagi mei tempahan untuk tahun ke atas di buka jam tengah hari hari sama,1,1,1
104,cara tikus berdasi menggerogoti dana negara bervariasi inovatif vaksin astrazeneca beli hibah sih,-1,-1,-1
105,menasihatkan warga maya akan menerima suntikan vaksin astrazeneca pwtc membawa mykad pen jangan datang awal kerana hanya dibenarkan masuk berdasarkan waktu temu janji,-1,-1,-1
106,rakyat desperate vaccination bwh pimpinan kj kucar kacir tolong improve drastik ramai dpt siksa covid tak jab,-1,-1,-1
107,eddagala erigema covid erya astrazeneca lituuka ku lwokutaano olwo okugema kw abantu abaaweereddwa enkizo kutandike wiiki ejja ku lwokusatu tubuuza olowooza gavumenti esomesezza ekimala byonna ebikwata ku ddagala erigema covid,1,-1,-1
108,alasan vaksinasi agar dapat vaksin dokter terawan berefek naiknya saham sinovac astrazeneca bismillah jadi komisaris indofarma,1,1,1
109,weih dengar wartawan tu ckap kumpulan kedua ketiga pakai vaksin jenama astrazenecaoxford sinovac mrna weakened virus selamat menelaah vaksin,-1,1,-1
110,benerbener abis badan ku dibuat vaksin astrazeneca,-1,-1,-1
111,temen vaksin pake astrazeneca demam ya,-1,-1,-1
112,surveyorrp mending nikita mirzani jd influencet vaksin cocoknya si brizieq jadi influencer mesum rijiek cucok jd influencer astrazeneca,1,-1,1
113,rek saran vaksin sing apik opo sinovac astrazeneca karo sinopharm lek ajane pengen vaksin bansos soale butuh duek,-1,-1,-1
114,vaksin astrazeneca membuat merasakan sakit tapi semoga bikin sehat,1,1,1
115,baru sms rm citf temujanji suntikan vaksin astrazeneca sedang diproses sila semak modul vaksinasi mysejahtera masa jam terima kasih,-1,1,1
116,gara ortu gw habis baca artikel orang yg meninggal pasca divaksin astrazeneca karna pembekuan darah sebentar ngecek gw kamar ngeliat kondisi gw napas engga parnonya liat kondisi gw pasca vaksin,-1,-1,-1
117,dah suka dah yakin orang tua tak restu itulah tadi vaksin astrazeneca sistem jkjav korup rakyat jadi mangsa,-1,-1,-1
118,besok vaksin katanya dapet vaksinnya astrazeneca cmiiw banyak yg katanya vaksinnya pas rs nya dapetnya yg sinovac trus katanya efek nya beda beda tapi yg demam nya bener bener fit divaksin,1,-1,1
119,mben lek wes vaksin kedua ganti bioku fully vaccinated astrazeneca,-1,1,-1
120,kipi vaksin astrazeneca cukup intens aku pastiin sehat sejahtera sblm vaksin astra ya,1,1,1
121,vaksin astrazeneca efeknya luar belum saya alami pusing seperti mual seperti mabuk laut,-1,-1,-1
122,covid beneran bohongan sih yg punya argumen soal cocid tolong jelasin donk,-1,1,-1
123,setel daftar untuk vaksin astrazeneca,-1,1,-1
124,vaksin astrazeneca vaksin dibuat korsel mengandung minyak babi dibolehin mui catatan asal darurat sih,-1,-1,-1
125,awalawal isu vaksin ih gue gamau sinovac males banget ngomongnya gw belom divaksin ya pakenya astrazeneca efek sampingnya banyak sinovac gue sinovac aja beli dmn ya,-1,-1,-1
126,vaksin astrazeneca besok habi untuk kota kupang wkkwkwk hari gue dapet yg bener bener terakhir,1,1,1
127,yang menerima vaksin kemarin pakai sinovac astrazeneca sinopharm side effetnya,-1,1,-1
128,waktu kemarin abis vaksin astrazeneca seharian ngerasa pegel bekas suntikan jangan panikcukup kompres dingin es batu terus malemnya demam minum paracetamol mg sehabis makan,-1,1,-1
129,belom vaksin nunggu astrazeneca ya kali aja giting,-1,-1,-1
130,pendaftaran vaksin astrazeneca dah tutup hm nampaknya berjaya kali nie,1,-1,1
131,tim payah stelah vaksin pkek astrazeneca demam,-1,-1,-1
132,dengar gais talk pasal vaksin astra,-1,-1,-1
133,astrazeneca vaksin tiba bulan jun dos katanya,-1,1,-1
134,vaksin astrazeneca haram sy haram,-1,-1,-1
135,uji klinis amerika serikat vaksin astrazeneca efektif persen lawan covid,1,-1,1
136,jam pasca vaksin pertama covid pake astrazeneca ada gejala apapun sih surprisingly pegel lengan ga sampe deh ampe demam,-1,-1,-1
137,dah suntik vaksin samada lain vaksin sila ucap tahniah diri,-1,-1,-1
138,dapet suntik vaksin astrazeneca td jam efek samping inj dirasakan laper terus,-1,-1,-1
139,regulator uni eropa vaksin astrazeneca aman efektif,1,1,1
140,wal yang tau kah harga vaksin covid astrazenecapfizersinovacnovavaxcovax mandiri dimana vaksinnya makasih,-1,1,1
141,jog vaksin sch jenisnya sinovac astrazeneca ya,-1,-1,1
142,warga emas berusia tahun atas perlu berebut cepat dapat vaksin astrazeneca walhal sudahpun dimasukkan fasa kedua tidak pertingkatkan vaksinasi kawasan kes tinggi siapa cepat dapat,-1,1,-1
143,hii ada pernah vaksin astrazeneca ga,-1,-1,-1
144,sempet kepikiran orangorang baru vaksin pertama bulan jadwal vaksin keduanya awal agustus aku akhir agustus vaksin pertamaku awal juni ohiya deng aku waktu dapetnya astrazeneca mereka sinovac pantesan,1,-1,1
145,warga satu rw habis disuntik ma al vaksin astrazeneca efeknya sama badan meriang demam pegal juga yg gatel tenggorokan kering pusing,-1,-1,-1
146,bagus sih vaksin astrazeneca sinovac,1,-1,1
147,guys pernah vaksin astrazeneca sebesar sih side effect nya,-1,-1,-1
148,indonesia malam kembali kedatangan vaksin covid astrazeneca kanal youtube sekretariat presiden juta dosis vaksin astrazeneca tiba indonesia pukul wib,1,-1,1
149,vaksin az oxfordastrazeneca diberi kadar orang jam orang setiap hari terdapat slot ada untuk keempatempat ppv sukarela untuk batch pertama terima kasih,1,1,1
150,lovehate ini efek astrazeneca hadeh mari vaksin,1,1,1
151,bo kabarnya vaksin astrazeneca unsur babinya mui gak usul beli sinovac aja ya karena dah dibeli jadi mubazir gak pake sinovac gak produksi meneketehe lo tanyain aja langsung,-1,-1,-1
152,daftar vaksin gor candrabagha kata temen pake vaksin astrazeneca udah vaksin cerita az gimana efek sampingnya,-1,-1,-1
153,ampun ini ngapain sih ngrecokin urus aja vaksin cacat astrazeneca senegara elo bakal pakai sini ga butuh beneran deh,-1,-1,-1
154,min untuk vaksin dosis astrazeneca bisa puskesmas ya coba puskesmas tidak untuk astra zeneca,-1,-1,-1
155,vaksin astrazeneca udah aja bagian abis disuntik sakit tangan udah gak pegel kemarin jujur kepala pusing bgt ngerasa capek trs maunya tidur trs ngerasa kayak ga enak badan hari kembali normal alhamdulillah,-1,-1,-1
156,astrazeneca masih serem bgt sih menyangkal efek blood clot dari vaksin tp skg korbannya udah banyak gini ditarik alhamdulillah sinovac yg dipilih aman,1,1,1
157,dapet wa kantor senin vaksin pake astrazeneca sharing yang udah vaksin pake astrazeneca efek sampingnya,1,-1,1
158,sudah vaksin hahaha,1,1,1
159,vaksin berbasis adenovirus astrazeneca sputnik bisa jadi vaksin flu ga sih,-1,-1,-1
160,ngga kenapakenapa abis vaksin demam pegelpegel pusing linglung susah tidur ternyata emg efek astrazeneca kayak gt gmn yaa kek gue udh ngga sakit terus vaksin sakit,-1,-1,-1
161,vietnam yang mati garagara vaksin astrazeneca jatah vaksinku juga merk lagi,-1,-1,-1
162,fafifu wasweswos bikin story kehalalan vaksin astrazeneca,-1,-1,-1
163,dmwa temen keluarga yg udah vaksin sinovac enteng nya bilang ga efek ngantuk pengen makan aja bawaan nya trus liat suami yg udah taun gak ngomong sakit bilang ga enak badan abis vaksin astrazeneca tuh gt,-1,-1,-1
164,percepatan vaksinasi menggunakan vaksin astrazeneca menjangkau lbh bnyak sasaran yg masuk dlam prioritas vaksinasi,1,1,1
165,mui vaksin covid astrazeneca hukumnya haram mengandung unsur babi boleh digunakan masa darurat pandemi,-1,-1,-1
166,selamat malam dalam rangka bulan lupus ingin menjawab pertanyaan berikut apakah orang lupus odapus mendapatkan vaksin astrazeneca apakah vaksin bisa mengaktifkan penyakit lupusnya jawaban,-1,1,-1
167,cintaku pusat vaksinasi astrazeneca,1,-1,1
168,temen kantor vaksin sinovac malah astrazeneca,-1,-1,-1
169,orang orang efek vaksin astrazeneca demam pusing perut buncit berat badan naik,-1,-1,-1
170,efek vaksin astrazeneca vaksin nyeri aja dibagian bekas suntikan ngantuk lapar malamnya demam,-1,-1,-1
171,tertundanya pengiriman vaksin astrazeneca disebut menyebabkan stok vaksin terbatas proses vaksinasi tetap berjalan lancar,-1,-1,-1
172,uji coba vaksin covid manusia menggabungkan suntikan astrazeneca universitas oxford inggris vaksin sputnik rusia dimulai minggu di azerbaijan beberapa negara timur tengah,-1,-1,-1
173,sama sinovac sama astrazeneca puluhan dm ig nanya merk vaksin,-1,-1,1
174,pgn vaksin astrazeneca tp nnt takutnya ga tetular covid krn vaksin tp krn udh mati luan,-1,-1,-1
175,yg udah vaksin astrazeneca ga,-1,-1,-1
176,vaksin astrazeneca emg bikin demam gitu yaa,-1,-1,-1
177,khairy mb selangor nafi berlaku manipulasi sistem pihak selangkah pendaftaran vaksin astrazeneca,-1,-1,-1
178,vaksin astrazeneca efektif alat mencegah penularan covid tentunya terus disiplin menerapkan memakai masker mencuci tangan menjaga jarak aman,1,1,1
179,yg terima vaksin astrazeneca masih hidup disebut penyintas ga ya,-1,1,-1
180,salah satu gejala covid varian delta pembekuan darah kaya kasus astrazeneca,-1,1,-1
181,terkini pendaftaran untuk tempahan vaksin astrazeneca covid dibuka pukul tengah hari telah habis ditempah khairy jamaluddin,-1,-1,-1
182,baru kali vaksin ternyata astrazeneca selesai vaksin kerja pulang ada kegiatan wara wiri sampe malem alhamdulillah gapapa kalo liat berita yang meriang lainlain,-1,-1,-1
183,harapnya orang kedah diberi peluang untuk pilih vaksin astrazeneca ppv terdekat penang sahaja esok pendaftaran az dibuka tahun atas kedah mohon utk divaksin penang harap ada cara kemudahan pihak berkuasa benarkan rentas utk ppv,1,-1,1
184,nanya serius ad yg vaksin pake astrazeneca kah,-1,1,-1
185,keluarga wanita tahun yg meninggal krn trombosis mendapat dosis pertama vaksin astrazeneca mengambil tindakan hukum tuduhan pembunuhan sengaja pengacara tdk melakukan untuk menyalahkan pun untuk mencari tahu yg terjadi,-1,-1,-1
186,nggak vaksin astrazeneca kasih satu gue,-1,-1,-1
187,baru balik pengen berlehaleha dikasur abis balik vaksin kerja hari malah sakit kepala gegara yang tereak vaksin astrazeneca mengandung babi,-1,-1,-1
188,vaksin astrazeneca ngefeknya,-1,-1,-1
189,kl disuruh vaksin covid astrazeneca sy tolak krn mengandung babi yg diharamkan agama trus kl dibilang sdh fatwanya mui bhw dibolehkan jd kl dosa mui yg tanggung dosanya pertanyaan yakin akhirat dosa ditanggung mui,-1,-1,-1
190,fak vaksin astrazeneca bikin lemes demam pusing bgt,-1,-1,-1
191,tribun jogja lribuan pedagang pasar sleman disuntik vaksin astrazeneca,-1,-1,-1
192,bts astrazeneca bts sinovac sih gini biar aing ga capek sasaran vaksin terpenuhi terus,1,-1,1
193,coba produk vaksin collab bts gue yakin bakalan rame yg antre misal sinovac bts astrazeneca exo,1,-1,1
194,gpp vaksin bayar ya pakek pfizer moderna astrazeneca jgn pakek sinopharm,-1,-1,1
195,tahniah yang dah berjaya daftar utk vaksin astrazeneca,1,-1,1
196,vaksin pfizer kui jenenge wangun nomer dua sik jenenge wangun ki astrazeneca pokmen opo golek kebule sik,-1,-1,-1
197,kahkahkah ramai pertikai daftar astrazeneca vaksin,-1,-1,-1
198,korang ke vaksin,-1,-1,-1
199,usai vaksin vaksin astrazeneca mendapati gejala pun mengantuk,-1,-1,-1
200,mui emang ngasal aja bilang vaksin astrazeneca babinya pak ahmad udah jelasin dulu kalo vaksin udah ga lagi menjaga dna sumber vaksinnya aya wae,-1,-1,-1
201,mantap ppv idcc shah alam keluar kereta lot parkirsehingga selesai vaksinasi minit benda baik puji betul tahniah dan sukarelawan,1,1,1
202,aman haram unsur babi kata mui khusus untuk keadaan darurat perang covid di izinkan aman halal,1,1,-1
203,vaksin astrazeneca tu vaksin jadi cantik dak,1,1,1
204,ribet ya vaksin doang gabole astrazeneca hrs sinovac nyari nya susa bgt,-1,-1,-1
205,pemerintah kembali menerima vaksin corona covid batch yang berisi juta dosis vaksin astrazeneca semalam menteri luar negeri retno marsudi menyebut vaksin diterima indonesia lewat jalur multilateral covax facility,1,-1,1
206,terhitung hari vaksin astrazeneca alhamdulillah gak gejala pegel bekas suntikannya jg sebentar allah baik bgt,1,1,1
207,bangun tidur vaksin astrazeneca gue maa alhamdulillaah idup ma mak iya alhamdulillah tp mama gk tidur tangannya sakit gue iye broh,-1,-1,-1
208,gagal vaksin astrazeneca garagara pernah penggumpalan darah bahh takut,-1,-1,-1
209,pdg sumbar vaksin astrazeneca ga ya,-1,-1,-1
210,kemarin habis vaksin dosis pertama astrazeneca okee efek sampingnya terlalu kerasa siang hari pas ngelab badan mulai gk enak mulai demam paginya udh minum pct pas siang udah lewat jam blm minum pct akhirnya pulang ngelab menggigil,-1,1,-1
211,besok vaksin astrazeneca agak takut deh,-1,-1,-1
212,bpom dari mui memberikan izin untuk penggunaan vaksinasi astrazeneca,1,1,1
213,bulan berganti jenis vaksin berubah astrazeneca kontroversi sbenarnya merek punya efikasi lebih baik sinovac,-1,1,-1
214,eh gue update kondisi jam vaksin astrazeneca,-1,-1,-1
215,kementerian kesehatan menghentikan vaksin covid astrazeneca batch ctmav untuk dilakukan uji toksisitas sterilitas badan pengawas obat makanan bpom,-1,1,-1
216,vaksin pon kena fake hope,-1,-1,-1
217,selamat berperang untuk dapatkan bts meal vaksin astrazeneca tuu,1,1,1
218,vaksin astrazeneca kayaknya bikin ko suntikan pertama ya dulu sinovac ko suntikan kedua,-1,1,1
219,baru vaksin astrazeneca dosis pertama sentra vaksinasi serviam,-1,-1,-1
220,bebrapa tokoh politik anggota dpr ngotot untk divaksin vaksin nusantara spertinya keprcayaan yg dbangun dbanding percaya vaksin sinovac astrazeneca ini soal bisnis impor vaksin bisa pantau,1,-1,-1
221,penambahbaikan boleh diambil untuk proses vaksinasi astrazeneca selepas,1,-1,1
222,jam vaksin covid astrazeneca badan lemas idung pilek,-1,1,-1
223,vaksin pake astrazeneca badan jadi pegel pegel panas semalam demam si kayaknya tp pegelnya gak ilang ilang,-1,-1,-1
224,ikiciro cya mbere cyinkingo zo gukingira zitangwa muri gahunda ya zimaze kugera mu rwanda muri iki gitondo hageze inkingo zo mu bwoko bwa astrazeneca hanyuma ku mugoroba tukaba dutegereje kuza kwakira izindi zo mu bwoko bwa pfizer,-1,-1,-1
225,warga ugmfe yg udah vaksin pake astrazeneca gimana efek divaksin gitu plis takut vaksin pake az soalnya fisikku gampang sakit takut pembekuan darah yakinkan buat vaksin guys,-1,-1,-1
226,fe vaksinasi astrazeneca solo dmn ya gais yg tau,-1,-1,1
227,mui vaksin astrazeneca haram boleh digunakan darurat jadi babi guling haram boleh digunakan lapar,-1,-1,-1
228,vaksin pake astrazeneca yg keduanya hrs nunggu brp,-1,-1,-1
229,amerika serikat punya vaksin pfizer india vaksin astrazeneca rusia memproduksi vaksin sputnik tiongkok mengeluarkan sinovac sinopharm negara berpenduduk besar memproduksi vaksin untuk kebutuhannya mudah mudahan indonesia belajar,1,1,1
230,dah soalan dah jawab satu meter parking satu gunung satu tangga tak lepas jugak daftar vaksin,-1,-1,-1
